date,favorite_count,followers_count,friends_count,retweet_count,retweeted,tweet_id,user_id
7/18/2019 18:51,0,54,275,0,False,86,"8,95,49,00,00,00,00,00,000"
7/18/2019 18:43,0,697,940,0,False,87,"4,50,67,49,394"
7/18/2019 18:42,0,1699,47,0,False,88,"7,27,81,930"
7/18/2019 18:40,0,82,219,0,False,89,"6,19,59,419"
7/18/2019 18:39,2,14,55,0,False,90,"9,25,63,90,00,00,00,00,000"
7/18/2019 18:38,0,0,6,0,False,91,"10,80,01,00,00,00,00,00,000"
7/18/2019 18:38,0,82,219,0,False,92,"6,19,59,419"
7/18/2019 18:37,0,105,169,0,False,93,"5,33,00,982"
7/18/2019 18:36,0,47,15,0,False,94,"5,37,05,285"
7/18/2019 18:36,0,1170,2973,0,False,95,"7,68,95,457"
7/18/2019 18:35,0,26,59,0,False,96,"12,10,22,246"
7/18/2019 18:34,0,814,3204,0,False,97,"7,40,88,90,00,00,00,00,000"
7/18/2019 18:34,0,7,110,0,False,98,"9,70,92,90,00,00,00,00,000"
7/18/2019 18:34,0,213,275,1,False,99,"2,62,32,91,070"
7/18/2019 18:33,2,328,611,0,False,100,"2,99,20,47,429"
7/18/2019 18:32,0,282,749,0,False,101,"3,57,11,948"
7/18/2019 18:31,2,328,611,0,False,102,"2,99,20,47,429"
7/18/2019 18:29,0,0,0,0,False,103,"11,32,53,00,00,00,00,00,000"
7/18/2019 18:27,0,82,219,0,False,104,"6,19,59,419"
7/18/2019 18:26,0,44,74,0,False,105,"8,41,87,00,00,00,00,00,000"
7/18/2019 18:26,0,1,299,0,False,106,"9,75,78,90,00,00,00,00,000"
7/18/2019 18:26,0,60,258,0,False,107,"4,68,33,14,658"
7/18/2019 18:25,0,24,226,0,False,108,"23,39,52,450"
7/18/2019 18:25,0,215,381,0,False,109,"11,62,43,437"
7/18/2019 18:24,0,1699,47,0,False,110,"7,27,81,930"
7/18/2019 18:22,0,0,6,0,False,111,"10,80,01,00,00,00,00,00,000"
7/18/2019 18:20,0,32,287,0,False,112,"8,33,33,60,00,00,00,00,000"
7/18/2019 18:20,0,1699,47,0,False,113,"7,27,81,930"
7/18/2019 18:19,0,72,70,0,False,114,"24,81,86,166"
7/18/2019 18:19,0,0,6,0,False,115,"10,80,01,00,00,00,00,00,000"
7/18/2019 18:16,0,1170,2973,0,False,116,"7,68,95,457"
7/18/2019 18:15,0,67,121,0,False,117,"21,55,42,877"
7/18/2019 18:15,2,16,388,0,False,118,"8,02,82,40,00,00,00,00,000"
7/18/2019 18:13,1,282,749,0,False,119,"3,57,11,948"
7/18/2019 18:11,0,32,287,0,False,120,"8,33,33,60,00,00,00,00,000"
7/18/2019 18:06,0,6,194,0,False,121,"7,79,84,50,00,00,00,00,000"
7/18/2019 18:06,0,9,77,0,False,122,"44,35,30,228"
7/18/2019 18:05,1,31,430,3,False,123,"8,75,35,90,00,00,00,00,000"
7/18/2019 18:05,0,37,212,0,False,124,"1,26,44,14,688"
7/18/2019 18:04,0,320,652,0,False,125,"51,72,66,307"
7/18/2019 18:03,0,0,0,0,False,126,"11,32,53,00,00,00,00,00,000"
7/18/2019 18:02,0,82,219,0,False,127,"6,19,59,419"
7/18/2019 17:59,0,241,300,0,False,128,"1,68,26,10,984"
7/18/2019 17:59,0,215,381,0,False,129,"11,62,43,437"
7/18/2019 17:58,0,82,219,0,False,130,"6,19,59,419"
7/18/2019 17:57,0,1,29,0,False,131,"8,90,88,70,00,00,00,00,000"
7/18/2019 17:57,0,82,219,0,False,132,"6,19,59,419"
7/18/2019 17:56,1,5,42,0,False,133,"9,63,49,30,00,00,00,00,000"
7/18/2019 17:56,0,82,219,0,False,134,"6,19,59,419"
7/18/2019 17:56,0,195,264,0,False,135,"14,18,57,575"
7/18/2019 17:53,0,83,90,0,False,136,"23,01,20,566"
7/18/2019 17:51,0,1,29,0,False,137,"8,90,88,70,00,00,00,00,000"
7/18/2019 17:45,2,781,663,0,False,138,"3,25,42,03,508"
7/18/2019 17:45,0,728,3257,0,False,139,"55,17,11,185"
7/18/2019 17:44,0,3,39,0,False,140,"11,10,15,00,00,00,00,00,000"
7/18/2019 17:40,0,5,111,0,False,141,"35,63,65,009"
7/18/2019 17:38,0,1,29,0,False,142,"8,90,88,70,00,00,00,00,000"
7/18/2019 17:38,0,23,58,0,False,143,"11,28,33,00,00,00,00,00,000"
7/18/2019 17:36,0,401,194,0,False,144,"14,30,85,507"
7/18/2019 17:35,0,105,169,0,False,145,"5,33,00,982"
7/18/2019 17:34,0,1212,185,0,False,146,"9,96,25,70,00,00,00,00,000"
7/18/2019 17:33,0,105,169,0,False,147,"5,33,00,982"
7/18/2019 17:32,0,241,300,0,False,148,"1,68,26,10,984"
7/18/2019 17:31,0,244,517,0,False,149,"7,41,72,813"
7/18/2019 17:30,0,23,58,0,False,150,"11,28,33,00,00,00,00,00,000"
7/18/2019 17:30,0,1227,1111,0,False,151,"3,61,40,130"
